市区町村コード,筆数合計,公共座標の筆数,任意座標の筆数,数字以外で始まる地番の筆数
01101,64703,55955,6973,1775
01102,141275,139928,204,1143
01103,112496,85000,26496,1000
01104,77736,45573,31741,422
01105,66079,65460,0,619
01106,125512,123918,0,1594
01107,84888,41448,42524,916
01108,38961,30299,8282,380
01109,69599,49757,19005,837
01110,65130,64366,0,764
01202,225760,175740,42459,7561
01203,124669,109704,10876,4089
01204,320563,264916,43484,12163
01205,76271,57984,15361,2926
01206,182595,80827,89078,12690
01207,158609,135940,17943,4726
01208,183303,167784,7599,7920
01209,13941,11209,1476,1256
01210,141018,126733,4888,9397
01211,75287,71972,0,3315
01212,32750,22237,8467,2046
01213,132381,96287,35282,812
01214,60998,50811,5139,5048
01215,54205,49322,1345,3538
01216,38907,32791,3935,2181
01217,91095,74065,14621,2409
01218,18119,14781,2087,1251
01219,52255,44407,3722,4126
01220,86033,72972,8678,4383
01221,73547,56705,12971,3871
01222,19404,18510,0,894
01223,37794,33750,0,4044
01224,91590,81641,7700,2249
01225,58863,54784,1134,2945
01226,25117,10997,12871,1249
01227,4515,4280,0,235
01228,83577,77382,1387,4808
01229,63158,20490,39809,2859
01230,49563,41187,6274,2102
01231,54799,50485,1688,2626
01233,90343,79730,5028,5585
01234,73145,70745,1376,1024
01235,101879,86670,8371,6838
01236,74041,68218,1495,4328
01303,51422,46618,1086,3718
01304,12911,10508,843,1560
01331,36336,31499,0,4837
01332,19915,18151,31,1733
01333,21071,19730,403,938
01334,22058,20672,212,1174
01337,55882,53703,18,2161
01343,17348,16979,0,369
01345,58965,8513,48449,2003
01346,64506,57970,417,6119
01347,31919,27100,1789,3030
01361,24886,23190,21,1675
01362,32778,28960,1095,2723
01363,33771,31239,593,1939
01364,20071,18587,0,1484
01367,13353,548,10508,2297
01370,39876,32311,5448,2117
01371,58247,50762,699,6786
01391,17957,16326,0,1631
01392,20435,19165,11,1259
01393,33341,28730,2206,2405
01394,46993,38529,5191,3273
01395,44173,36414,1149,6610
01396,29714,27058,0,2656
01397,21640,20542,0,1098
01398,32777,30842,0,1935
01399,33099,31331,0,1768
01400,49650,42114,3549,3987
01401,48336,37887,6687,3762
01402,17106,12119,3805,1182
01403,9432,3752,4188,1492
01404,8300,964,5901,1435
01405,22243,19308,0,2935
01406,12973,9782,1633,1558
